"slopeLength","daysAfter","numSlopes","orientation","all.all.other.days","all.during.heatwave","all.after.heatwave","R.all.other.days","R.during.heatwave","R.after.heatwave","L.all.other.days","L.during.heatwave","L.after.heatwave","T.all.other.days","T.during.heatwave","T.after.heatwave"
3,-15,7,"end",9.58916522819873,NA,9.87069039931425,9.82682288698958,NA,8.447589884673,9.23763403852058,NA,10.8295518818563,9.80976573550669,NA,11.276911237098
3,-15,8,"start",9.49709353512173,NA,10.742233252964,9.36254273076276,NA,12.8238129573471,9.13204381867225,NA,12.0581310218764,10.6676476490063,NA,4.9096192562559
3,-15,8,"end",9.75777720742706,NA,8.38710324530935,10.0689657461319,NA,6.61753628666078,9.46332866858933,NA,8.41311241101386,9.67298112676761,NA,12.0795071040599
3,-15,9,"start",9.62642265764469,NA,9.51766714984851,9.42387477899281,NA,11.9357433728447,9.26842546080031,NA,10.3552059395087,10.9549576032463,NA,3.74041158801327
3,-15,9,"end",9.83806061532152,NA,7.93530401167212,10.2649188661815,NA,5.58237369665178,9.50885019489837,NA,8.13730639056874,9.55325750710162,NA,12.5659307118874
3,-15,10,"start",9.53897718091204,NA,10.1841046152022,9.40669795572136,NA,11.8097452430673,9.24565844421051,NA,10.4512559100492,10.5464991753759,NA,6.64900717125699
3,-15,10,"end",9.61255455743783,NA,9.63013618005031,9.81309911036752,NA,8.94940864695894,9.28479037608452,NA,9.99075898311578,9.87682902614518,NA,10.4570022331002
3,-14,1,"start",9.34128265542627,NA,32.482402760096,9.0376884688678,NA,63.6525358703661,9.35206326388755,NA,10.7757409406993,10.0435837640314,NA,4.95955173538108
3,-14,1,"end",9.66882110469733,NA,5.52822435904365,9.73403764063444,NA,6.96016515675478,9.46556170543385,NA,0.870450654093949,9.96149135160752,NA,10.2681944054586
3,-14,2,"start",9.30276116276168,NA,22.5025828086926,9.03464024216497,NA,36.4683860436284,9.52891030835287,NA,1.40519873289528,9.44373568890981,NA,26.59673147441
3,-14,2,"end",9.74414054448001,NA,4.78455342929198,9.85042468384311,NA,4.14797939240271,9.42892512406706,NA,6.7177335715794,10.1879325400075,NA,2.90646504780143
3,-14,3,"start",9.39297992954541,NA,15.6490002437597,9.38394443045845,NA,18.0227239587771,9.60783605979869,NA,1.56319369851617,8.93473787926344,NA,31.5114649029674
3,-14,3,"end",9.68212561165182,NA,7.96168197982259,9.80179701272171,NA,7.20220872386751,9.21910188120171,NA,13.468538456923,10.424742675017,NA,0.38692028056035
3,-14,4,"start",9.13192519036806,NA,19.3445787885037,9.24736623017907,NA,18.5564315263246,9.25340821426426,NA,12.0738066615566,8.58004092877324,NA,31.3355278004321
3,-14,4,"end",9.5032034820985,NA,11.6446388128568,9.54943407499866,NA,12.2784189011446,9.05327515384166,NA,15.8305012329777,10.3966013530432,NA,3.3302212596032
3,-14,5,"start",9.17090491711224,NA,16.681570777523,9.18908179577715,NA,17.602484245309,9.35105993604737,NA,9.65584659240031,8.7196641099359,NA,25.0903358279934
3,-14,5,"end",9.45978547445845,NA,11.8391477260629,9.58606210716751,NA,11.2259984172853,8.93468215047809,NA,16.4104938320439,10.3330436670816,NA,5.51466386795865
3,-14,6,"start",9.21825797341974,NA,14.8095490418883,9.12750047972447,NA,16.9893365829443,9.24780971808455,NA,11.2213118436826,9.37195883752401,NA,15.8751818617465
3,-14,6,"end",9.63298310291795,NA,9.40113778434072,9.7097955741964,NA,9.54710692873569,9.22910127061954,NA,11.2094950378829,10.3570445273932,NA,6.0790519458255
3,-14,7,"start",9.28069382799198,NA,13.3187386110977,9.07570276493154,NA,16.4277217789792,9.13280258777456,NA,12.4660710280968,10.1198814975575,NA,8.67784580276719
3,-14,7,"end",9.7998051733758,NA,7.77268855333135,9.9465902881453,NA,7.29854323899849,9.4518533454374,NA,8.39357233463064,10.2319200902557,NA,7.73885569253523
3,-14,8,"start",9.40550891490849,NA,11.619038575326,9.13238522617098,NA,14.9781548937099,9.26770883463121,NA,10.4992878096556,10.3927103632596,NA,6.89145885768033
3,-14,8,"end",9.87953190309643,NA,7.34121625198671,10.1377317590441,NA,6.04885945619615,9.49664972098994,NA,8.08573307117778,10.1239651859045,NA,8.82866367778165
3,-14,9,"start",9.31283187560513,NA,12.1514723505683,9.111495571369,NA,14.5001112471944,9.24518433502573,NA,10.5900009024621,9.96545499538049,NA,9.97061319309452
3,-14,9,"end",9.65798376247523,NA,9.29124853548453,9.69089424904979,NA,9.7381776499214,9.27532004837333,NA,10.1508552094957,10.4530277326821,NA,6.9440317115795
3,-14,10,"start",9.10685147383257,NA,13.4261611443474,9.00401323879478,NA,14.7446062093733,9.03417303117869,NA,12.3529978164661,9.52907348710135,NA,12.4645199121901
3,-14,10,"end",9.79088467951161,NA,8.45278930307055,9.67562438020867,NA,9.83060190244004,9.21150638204037,NA,10.5432361788486,11.4051398499484,NA,2.16127099087436
3,-13,1,"start",9.58006362358868,NA,12.5227628572892,9.70166913992318,NA,9.28423621689074,9.541514350515,NA,-7.96534347490875,9.37439263808205,NA,48.2339112134389
3,-13,1,"end",9.68846351868954,NA,4.04088249954031,9.81091753922823,NA,1.33579362805065,9.32894294567952,NA,12.5650164890648,10.1891737028753,NA,-4.45526430985571
3,-13,2,"start",9.67254760740678,NA,7.23229898559156,10.0549015609882,NA,-4.79218199701733,9.61976281820537,NA,-3.04307992257539,8.87230040056372,NA,44.7874214867606
3,-13,2,"end",9.6265334069017,NA,9.17841079021205,9.76241626490014,NA,7.32323050742388,9.12041806055032,NA,19.7675823583376,10.4222838016731,NA,-4.55371678188876
3,-13,3,"start",9.41811897579213,NA,14.9653041313062,9.92843241860557,NA,3.52439674497742,9.26911482175923,NA,12.5064952351758,8.5222671650489,NA,40.1275198221158
3,-13,3,"end",9.44928420692773,NA,13.6834436307945,9.51304642008251,NA,14.0511701492746,8.95539447800736,NA,20.8171847592723,10.3945523060073,NA,1.01756354431807
3,-13,4,"start",9.46016626482983,NA,12.7313627818798,9.87952081089125,NA,6.0899713390447,9.36591226408304,NA,9.37587300532556,8.65868931467285,NA,30.1230318511465
3,-13,4,"end",9.40572179426566,NA,13.4168785678178,9.54863371852696,NA,12.2924567324179,8.83705222921436,NA,20.2955046265314,10.3319920574337,NA,4.32628123358367
3,-13,5,"start",9.5105587616544,NA,11.2749782982468,9.82759534501217,NA,7.65669672545995,9.26390623825797,NA,11.3104260242792,9.29922685232385,NA,18.0583078870196
3,-13,5,"end",9.575750733921,NA,10.1757204694001,9.6700368390888,NA,10.0644952831319,9.12666682678956,NA,13.2773039146407,10.3555799649437,NA,5.24122345389888
3,-13,6,"start",9.57591948813947,NA,10.1247945862646,9.78557741129144,NA,8.55691943041467,9.15029496991053,NA,12.7477927093297,10.0333955238898,NA,9.29756148066488
3,-13,6,"end",9.73940465544871,NA,8.14676591904596,9.90277401208629,NA,7.35493958603911,9.34538432941577,NA,9.64742594805342,10.2325280396725,NA,7.31729924038134
3,-13,7,"start",9.70293087788348,NA,8.63855797750171,9.8508678315596,NA,8.02467189704473,9.28393765696472,NA,10.4597945052208,10.3000997048298,NA,7.16744558943736
3,-13,7,"end",9.81712155473277,NA,7.60021509383571,10.0904168958438,NA,5.91867292754492,9.38828038597869,NA,9.11648770218976,10.1264236385105,NA,8.62301643097067
3,-13,8,"start",9.61534719682881,NA,9.61010604937732,9.8398519618505,NA,8.35605816929797,9.26183474161465,NA,10.5667833976824,9.87864742439784,NA,10.5969958753087
3,-13,8,"end",9.59786878131492,NA,9.76026314298296,9.64961831209386,NA,10.0854292115672,9.16838786778453,NA,11.3109057789209,10.4498163428269,NA,6.53420343425194
3,-13,9,"start",9.39803204416595,NA,11.4358880288666,9.74368273301191,NA,9.31039180259637,9.053327331368,NA,12.5282485804402,9.34568636835545,NA,13.8728601039929
3,-13,9,"end",9.727853594993,NA,8.77441664985612,9.6339156289996,NA,10.1476850313239,9.10392612759566,NA,11.6100875234906,11.3849971156956,NA,1.28220700616041
3,-13,10,"start",9.40795767717006,NA,11.1670885724003,9.77191310821516,NA,9.14797127871539,9.19618038010053,NA,10.8961778865459,9.003637361483,NA,15.467865039304
3,-13,10,"end",9.97970650676622,NA,7.22534357429852,9.66445119273785,NA,9.90061644217836,9.51361287695529,NA,8.25476328763663,11.8236324315969,NA,0.0197071542950594
3,-12,1,"start",9.7066452745066,NA,1.94183511389392,10.0454896997456,NA,-18.8686002109254,9.44199735801059,NA,1.87918362975797,9.48098510385561,NA,41.3409317600823
3,-12,1,"end",9.55276713263372,NA,14.3159390808838,9.64723221446839,NA,13.3106673867971,9.16065869639745,NA,26.9701482276103,10.1922186246907,NA,-4.65216925392181
3,-12,2,"start",9.4557101311409,NA,16.1865747683147,9.92046781102073,NA,0.644477009020755,9.09311485486474,NA,22.742414590218,9.14601026528539,NA,36.0743241264542
3,-12,2,"end",9.37690285821386,NA,18.5047241964216,9.39972198313969,NA,20.4088584098866,8.99806140485201,NA,24.943268894376,10.161309113088,NA,3.75397747140496
3,-12,3,"start",9.49770280383231,NA,12.8008960900766,9.87206879461878,NA,5.02521637976269,9.18709772074424,NA,15.156278498737,9.29020881305741,NA,24.0860720637157
3,-12,3,"end",9.33294952622996,NA,16.5422105905769,9.43321658707796,NA,15.944677767207,8.88164510313602,NA,22.8723340056869,10.0960252005088,NA,7.25346308139679
3,-12,4,"start",9.54793577715862,NA,10.9630321584862,9.82070712340287,NA,7.24981185260225,9.08429096458421,NA,16.1293683990762,9.93060011223382,NA,10.5144070554148
3,-12,4,"end",9.49963965810444,NA,11.7094299618651,9.55124417516552,NA,12.2466706969022,9.16829333601808,NA,13.4553757710347,10.1154041118388,NA,7.66534539483753
3,-12,5,"start",9.61294490418227,NA,9.64520093205967,9.77914025094037,NA,8.41145607311945,8.96998435420336,NA,16.8904199461774,10.6630743539373,NA,1.51029153411007
