"Lake","Year","Date","DOYtrunc","BGA_YSI","BGA_HYLB","Chl_YSI","Chl_HYLB","DO_YSI","DO_HYLB","DOlocalSat_YSI","DOlocalSat_HYLB","pH_YSI","pH_HYLB","SpCond_YSI","SpCond_HYLB","Temp_YSI","Temp_HYLB","BGA_YSI_ugL_correctedToFLAMe","Chl_YSI_ugL_correctedToFLAMe","BGA_logged_HYLB","Manual_Chl"
"L",2018,2018-07-21,202,0.0336194365595142,183.864583333333,1.70897977857057,3.57705068552954,7.0241575877814,6.98833333333333,87.3953894788949,87.0114583333333,6.42619429993638,6.12208333333333,11.1740082791002,11,22.8790981631992,22.9336111111111,NA,NA,2.26329209640223,4.12648713006956
"L",2018,2018-07-22,203,0.028895197187025,191.503980321117,1.42136790639325,2.81976352042746,7.23451954999088,7.1752404314101,89.9371746579072,89.0881158876859,6.45169988082904,6.15541457490558,11.541665582571,11.0000006107385,22.8044893584061,22.762696572932,NA,NA,2.16100638484936,3.92202593029933
"L",2018,2018-07-23,204,0.0283654668981129,155.446380806213,1.35348020153085,2.56756086195813,7.41317069807115,7.39694757093784,92.8502565407694,92.4582118246641,6.4950325008618,6.19516712845681,11.1706260709251,11.0000013948459,23.2056560685762,23.1188737055801,NA,NA,2.13029847714664,3.54408053661946
"L",2018,2018-07-24,205,0.0236094786170589,186.395059306725,1.42464187111997,2.77789296888894,7.55347237895196,7.52409722222222,96.544127283366,95.9993055555556,6.54134608026268,6.22708333333333,11.0000000868297,11,24.293303653969,24.2095134162878,NA,NA,2.0934211898391,3.23003331820851
"L",2018,2018-07-25,206,0.0211174920175135,152.773087289595,1.54224341639401,2.74706404754734,7.51670785838962,7.49653985441272,95.5555538305091,95.3010568080795,6.5591880581888,6.26924410713862,11.0069447271322,10.9999994369872,24.0105976568657,24.0233934471355,NA,NA,2.17136035983188,4.17872032405206
"L",2018,2018-07-26,207,0.0323745269653285,181.147025222562,1.69774429134767,3.29968148093913,7.40745175773216,7.36622364107774,92.3335497901229,91.8785988567383,6.52561070422151,6.27506618723055,11.00000008684,10.9999997178727,22.9695827448153,23.0200377893462,NA,NA,2.1920660030281,3.54997783271426
"L",2018,2018-07-27,208,0.0359440708724669,187.887571577177,1.70034722222222,3.38183633942642,7.46965277777778,7.41913919857229,91.9416666666667,91.3712573525663,6.54776172177108,6.28434083027261,11,10.9999997178827,22.3064236111111,22.3565939263604,NA,NA,2.24359545583025,3.90906483998109
"L",2018,2018-07-28,209,0.034243581329699,179.283821648409,1.68145406929508,3.17844199216238,7.57666666666667,7.50214242685249,93.2246527777778,92.1411466061809,6.57916519840698,6.31546930811069,11,10.9999997178827,22.2747916666667,22.2085641847066,NA,NA,2.22358617832368,2.96115549955663
"L",2018,2018-07-29,210,0.0329029949630794,190.488947562174,1.7600642708201,3.25298346291749,7.69652777777778,7.63506944444444,95.2260416666667,94.2923611111111,6.61447916666667,6.37777777777778,11,10.9999997178827,22.5708680555556,22.4973263888889,NA,NA,2.18358641450106,3.94781850003263
"L",2018,2018-07-30,211,0.0299633787844985,181.446589317967,1.75038394240174,3.03625915974694,7.752519154599,7.69552083333333,96.7519520388408,95.8434027777778,6.63755215901189,6.37319444444444,11.0000000868297,11,23.0210823969096,22.9386458333333,NA,NA,2.11929320729337,2.78358856219675
