"lake","year","DOY","Chla","ZBgrav","LMinnCPE"
"Paul",2011,152,2.24658,0.01525,0.3
"Paul",2011,153,2.05086,0.03767,0
"Paul",2011,154,1.59984,0.00427,0
"Paul",2011,155,1.55303,0.02528,0.1
"Paul",2011,156,1.95725,0.01907,0.15
"Paul",2011,157,1.6977,0.02709,0
"Paul",2011,158,2.19552,0.02343,0.2
"Paul",2011,159,1.30865,0.02747,0.4
"Paul",2011,160,2.23807,0.01967,0.3
"Paul",2011,161,2.47635,0.02025,0.25
"Paul",2011,162,1.89768,0.04396,0.05
"Paul",2011,163,1.17411,0.02791,0.05
"Paul",2011,164,1.519,0.0447,0.05
"Paul",2011,165,1.37951,0.03747,0.1
"Paul",2011,166,1.61686,0.04564,0.05
"Paul",2011,167,3.15713,0.04663,0.05
"Paul",2011,168,1.82535,0.05126,0.1
"Paul",2011,169,2.4338,0.0396,0.25
"Paul",2011,170,3.52305,0.06995,0.1
"Paul",2011,171,3.38264,0.03015,0
"Paul",2011,172,3.05927,0.0356,0.15
"Paul",2011,173,2.23807,0.01822,0
"Paul",2011,174,3.76558,0.02878,0.05
"Paul",2011,175,3.07203,0.05318,0.05
"Paul",2011,176,2.13595,0.05,0.1
"Paul",2011,177,1.519,0.04356,0
"Paul",2011,178,3.11458,0.03181,0
"Paul",2011,179,3.14862,0.02925,0.25
"Paul",2011,180,2.11468,0.03778,0.15
"Paul",2011,181,2.27637,0.05763,0.05
"Paul",2011,182,1.81684,0.05207,0
"Paul",2011,183,1.89768,0.06221,0
"Paul",2011,184,1.77003,0.03255,0.05
"Paul",2011,185,1.75727,0.03739,0.3
"Paul",2011,186,1.97001,0.04071,0.05
"Paul",2011,187,1.66366,0.03335,0.15
"Paul",2011,188,2.45082,0.07559,0.25
"Paul",2011,189,1.59558,0.05506,0.1
"Paul",2011,190,2.94864,0.06274,0.2
"Paul",2011,191,2.68484,0.05916,0.05
"Paul",2011,192,2.49337,0.05087,0.1
"Paul",2011,193,2.43805,0.06097,0.25
"Paul",2011,194,2.3487,0.05308,0.2
"Paul",2011,195,2.81674,0.05996,0.1
"Paul",2011,196,1.88066,0.07549,0
"Paul",2011,197,1.95299,0.07852,0.2
"Paul",2011,198,2.03809,0.0723,0
"Paul",2011,199,2.36997,0.0394,0.05
"Paul",2011,200,2.06362,0.05271,0.1
"Paul",2011,201,1.33107,0.05149,0.25
"Paul",2011,202,2.00831,0.0518,0.45
"Paul",2011,203,1.94448,0.05824,0.2
"Paul",2011,204,2.96566,0.05102,0.15
"Paul",2011,205,2.23807,0.04952,0.2
"Paul",2011,206,3.16564,0.05499,0.35
"Paul",2011,207,2.09341,0.05977,0.2
"Paul",2011,208,3.48901,0.05379,0.1
"Paul",2011,209,2.50188,0.04768,0.15
"Paul",2011,210,2.40401,0.05817,0.2
"Paul",2011,211,1.81684,0.06156,0.25
"Paul",2011,212,2.33593,0.06721,0.3
"Paul",2011,213,3.37413,0.06513,0.4
"Paul",2011,214,4.36552,0.06093,0.3
"Paul",2011,215,2.83376,0.0494,0.25
"Paul",2011,216,2.70611,0.05133,0.05
"Paul",2011,217,2.93162,0.07446,0.15
"Paul",2011,218,1.96576,0.0747,0.05
"Paul",2011,219,3.24223,0.05831,0.15
"Paul",2011,220,2.94864,0.05835,0.4
"Paul",2011,221,5.23351,0.06777,0.35
"Paul",2011,222,4.00385,0.08366,0.45
"Paul",2011,223,3.4805,0.07303,0.3
"Paul",2011,224,4.59528,0.05904,0.25
"Paul",2011,225,3.48476,0.0647,0.15
"Paul",2011,226,4.33148,0.05952,0.15
"Paul",2011,227,3.68048,0.05966,0.2
"Paul",2011,228,3.34434,0.06493,0.2
"Paul",2011,229,3.4805,0.06886,0.25
"Paul",2011,230,3.76558,0.06233,0.3
"Paul",2011,231,4.45487,0.05991,0.25
"Paul",2011,232,5.03779,0.01534,0.25
"Paul",2011,233,5.0463,0.0442,0.15
"Paul",2011,234,5.21224,0.05052,0.1
"Paul",2011,235,5.46753,0.04379,0.25
"Paul",2011,236,4.46338,0.04301,0.55
"Paul",2011,237,3.98258,0.03488,0.35
"Paul",2011,238,4.57826,0.04218,0.2
"Paul",2011,239,3.39966,0.03198,0.15
"Paul",2011,240,2.46784,0.03663,0.15
"Paul",2011,241,2.42529,0.04798,0.05
"Paul",2011,242,2.88907,0.04424,0.1
"Paul",2011,243,3.59113,0.0331,0.3
"Paul",2011,244,3.09331,0.03131,0.25
"Paul",2011,245,3.54007,0.04179,0.25
"Paul",2011,246,3.51879,0.03998,0.1
"Peter",2008,136,8.08505,0.042334,12.97
"Peter",2008,137,14.42403,0.026538,17.03
"Peter",2008,138,11.80493,0.031598,5.9
"Peter",2008,139,11.748,0.02947,23.33
"Peter",2008,140,11.99472,0.043448,12.1
"Peter",2008,141,13.41815,0.0509,6.6
"Peter",2008,142,10.5713,0.056956,14.13
"Peter",2008,143,9.94499,0.041764,6.1
"Peter",2008,144,8.50259,0.067688,4.33
"Peter",2008,145,6.62252,0.06074,17.9
"Peter",2008,146,5.99204,0.085306,19.1
"Peter",2008,147,6.31484,0.072402,19.37
"Peter",2008,148,5.48262,0.09212,12.87
"Peter",2008,149,5.31617,0.092254,11.83
"Peter",2008,150,2.91532,0.089106,13.77
"Peter",2008,151,4.63526,0.088952,14.3
"Peter",2008,152,5.89621,0.098454,14.4
"Peter",2008,153,5.27078,0.100456,13.93
"Peter",2008,154,3.86355,0.083376,13.93
"Peter",2008,155,3.96947,0.1142375,12.17
"Peter",2008,156,3.58614,0.12109,11.07
"Peter",2008,157,3.75259,0.0971,9.3
"Peter",2008,158,4.83701,0.1149,10.43
"Peter",2008,159,4.90762,0.1113375,12.23
"Peter",2008,160,3.10698,0.1046375,23.33
"Peter",2008,161,3.60632,0.115525,21.5
"Peter",2008,162,3.99974,0.13575,22.5
"Peter",2008,163,4.52934,0.1424,16.83
"Peter",2008,164,4.48394,0.15217,10.57
"Peter",2008,165,4.74118,0.174755,15.5
"Peter",2008,166,3.84338,0.16547,11.33
"Peter",2008,167,3.75259,0.12204,16.13
"Peter",2008,168,5.91638,0.197325,14.3
"Peter",2008,169,5.1699,0.14992,9.87
"Peter",2008,170,3.9493,0.16401,8.1
"Peter",2008,171,4.44359,0.15975,13.07
"Peter",2008,172,4.78657,0.137065,21.13
"Peter",2008,173,4.62517,0.134635,17.8
"Peter",2008,174,5.21025,0.103755,14.13
"Peter",2008,175,4.9631,0.161495,11.23
"Peter",2008,176,5.99708,0.117405,13.9
"Peter",2008,177,5.24556,0.134045,14.27
"Peter",2008,178,6.24927,0.13604,15.3
"Peter",2008,179,6.13327,0.126595,17.03
"Peter",2008,180,6.21397,0.114115,12.13
"Peter",2008,181,7.92886,0.162485,12.1
"Peter",2008,182,6.46111,0.117545,11.3
"Peter",2008,183,6.43085,0.113665,11.77
"Peter",2008,184,6.69817,0.11779,17.4
"Peter",2008,185,6.43589,0.103845,10.07
"Peter",2008,186,5.86594,0.078425,12.97
"Peter",2008,187,5.61375,0.078585,13.73
"Peter",2008,188,6.23919,0.10034,13.07
"Peter",2008,189,7.59093,0.057705,14.53
"Peter",2008,190,8.33741,0.067965,17.5
"Peter",2008,191,7.47996,0.068275,10.37
"Peter",2008,192,6.3098,0.064285,12.6
"Peter",2008,193,8.25166,0.05716,11.5
"Peter",2008,194,6.62756,0.070165,10.4
"Peter",2008,195,6.64773,0.058955,7.77
"Peter",2008,196,7.07646,0.064985,6.6
"Peter",2008,197,6.28458,0.065435,9.4
"Peter",2008,198,5.19512,0.05468,10.83
"Peter",2008,199,5.07407,0.05547,11.13
"Peter",2008,200,6.21397,0.04481,9.53
"Peter",2008,201,6.17866,0.057995,7.9
"Peter",2008,202,7.80781,0.04282,8.7
"Peter",2008,203,6.73852,0.05102,8.33
"Peter",2008,204,6.09292,0.04921,6.9
"Peter",2008,205,6.91001,0.050785,7.1
"Peter",2008,206,6.36024,0.04498,6.83
"Peter",2008,207,6.69313,0.04277,6.8
"Peter",2008,208,7.95912,0.04393,6.37
"Peter",2008,209,6.79905,0.04604,5.8
"Peter",2008,210,7.17229,0.038705,6.7
"Peter",2008,211,7.64136,0.050305,8.43
"Peter",2008,212,8.53878,0.03308,6.1
"Peter",2008,213,6.78392,0.049985,6.43
"Peter",2008,214,6.82931,0.044235,6.87
"Peter",2008,215,6.85957,0.046345,5.73
"Peter",2008,216,7.79888,0.03612,5.9
"Peter",2008,217,7.93886,0.04757,5.63
"Peter",2008,218,8.23882,0.039025,7.07
"Peter",2008,219,8.13883,0.045275,6.37
"Peter",2008,220,8.15883,0.0408,6.33
"Peter",2008,221,7.15897,0.045605,5.57
"Peter",2008,222,7.21897,0.053095,5.87
"Peter",2008,223,7.15897,0.05609,3.93
"Peter",2008,224,10.17854,0.03881,4.57
"Peter",2008,225,6.73903,0.03824,5.47
"Peter",2008,226,7.85887,0.037425,5.5
"Peter",2008,227,6.09796,0.038545,4.1
"Peter",2008,228,6.21397,0.036645,4.07
"Peter",2008,229,6.20388,0.03526,4.33
"Peter",2008,230,6.794,0.02988,4.7
"Peter",2008,231,5.60871,0.03851,4.73
"Peter",2008,232,6.67295,0.03413,4.07
"Peter",2008,233,5.83064,0.02965,5.3
"Peter",2008,234,6.38546,0.025295,6.07
"Peter",2008,235,6.09796,0.029525,2.8
"Peter",2008,236,8.73875,0.02995,2.9
"Peter",2008,237,6.20388,0.01853,4.47
"Peter",2008,238,7.98939,0.025885,5.33
"Peter",2008,239,6.16857,0.028055,4.9
"Peter",2008,240,6.16353,0.033555,4.53
"Peter",2009,138,3.93578,0.1713,8.333
"Peter",2009,139,3.11203,0.177945,6.5
"Peter",2009,140,3.06454,0.12307,4.333
"Peter",2009,141,3.11707,0.13648,6.167
"Peter",2009,142,2.85686,0.1039,6.167
"Peter",2009,143,2.54712,0.113095,5.9
"Peter",2009,144,2.13252,0.074475,5.9
