"slopeLength","daysAfterStart","numSlopes","all.all.other.days","all.during.heatwave","all.after.heatwave","R.all.other.days","R.during.heatwave","R.after.heatwave","L.all.other.days","L.during.heatwave","L.after.heatwave","T.all.other.days","T.during.heatwave","T.after.heatwave"
7,7,7,11.5620427812803,NA,7.04170693164084,16.4941642876612,NA,9.66353007422746,5.86887746213849,NA,-8.4135113944853,14.2814210913128,NA,51.9585900740292
7,7,8,11.3993375020177,NA,8.94708330018675,16.3514945614601,NA,11.6208593920863,5.57008781968679,NA,-4.31653561404122,14.5265242798272,NA,46.8261364723617
7,8,3,12.3693667604405,NA,-16.4614162901639,17.07329648796,NA,-11.5677106353394,6.40302884008887,NA,-37.206064915651,16.8909004869585,NA,35.0541483644893
7,8,4,12.2830192696278,NA,-8.67413891912176,17.1376279516389,NA,-6.40921586315056,6.38852617154393,NA,-27.35449689603,16.0064763723404,NA,46.0439774840017
7,8,5,12.1042965591125,NA,-2.37988425455755,17.0433310276621,NA,-0.807352186260607,6.28328465961343,NA,-19.7566270647783,15.261415771123,NA,51.1788299264065
7,8,6,11.7879313603202,NA,3.44793041157239,16.804237289857,NA,4.62646616326404,5.79826820158633,NA,-10.1663681020541,15.2607738200479,NA,47.5948882164412
7,8,7,11.630028804593,NA,6.06230030461141,16.6669817401831,NA,7.46853118525827,5.50326501835014,NA,-5.20643737768638,15.5099363143856,NA,41.9259614015239
7,8,8,11.6699305212879,NA,6.23093864501494,16.62848563111,NA,8.76593850657767,5.53359716093303,NA,-4.41278195620944,15.8537536790385,NA,36.3007780545935
7,9,3,11.8974420132004,NA,-6.75342198924632,16.7938806073851,NA,-6.3117189015186,5.80770624686423,NA,-25.0664035917613,16.163952934266,NA,53.3590602877654
7,9,4,11.7166109980546,NA,0.820921008863715,16.6967124915262,NA,0.784973134155051,5.69682329727489,NA,-15.9351320634405,15.4327584860231,NA,58.3934956843365
7,9,5,11.4007250586646,NA,7.43977146430147,16.4572119733008,NA,7.16217743781183,5.21230752144206,NA,-4.85421074723294,15.4335143213208,NA,53.0117353271386
7,9,6,11.2413091414068,NA,10.044893171397,16.3184192184567,NA,10.2150699794328,4.91565266801158,NA,0.354521219274942,15.6800189831083,NA,45.4811750966067
7,9,7,11.2766498795738,NA,9.77985298201211,16.2768643932842,NA,11.4091542221941,4.93939220153807,NA,0.62539891846962,16.0195766600198,NA,38.375433710782
7,9,8,11.5995358306358,NA,6.66150397801972,16.6502264024288,NA,8.17776125442339,5.17926679483503,NA,-1.32503741723264,16.4470479874767,NA,31.6603289826624
7,10,3,11.0952286153966,NA,12.7278663365768,16.0911418114567,NA,10.4986220614974,4.83302543337813,NA,-1.68387345174139,15.6148327945287,NA,70.9713105584687
7,10,4,10.7772838472208,NA,18.7252728356758,15.8483465563177,NA,16.5595411801345,4.34589009029655,NA,9.43125655321522,15.6170273759453,NA,61.6993276031829
7,10,5,10.614057148252,NA,20.1209160492089,15.7053960153425,NA,18.7811620432401,4.04477681629399,NA,13.5130312949188,15.8610461239259,NA,50.7760941244927
7,10,6,10.6425850361395,NA,18.3807233018114,15.6581531946263,NA,18.9979171841225,4.05920606799042,NA,11.9600172386966,16.1965706978981,NA,41.232052513726
7,10,7,10.9541569379347,NA,13.6230664180921,16.0194804382896,NA,14.2344828935966,4.28633234152435,NA,8.24059149679752,16.6185077509302,NA,32.7073002012527
