"period","daysAfter","mean_percent_change","sd_percent_change","number_percent_change","lake","median_percent_change"
"after heatwave",14,8.93962365218506,40.1093485367033,42,"L",NA
"after heatwave",15,8.28775670436969,41.1066719114613,41,"L",NA
"after heatwave",16,7.13354767429442,41.8322616785042,40,"L",NA
"after heatwave",17,4.04220961333426,40.9867090819776,39,"L",NA
"after heatwave",18,1.75589427094831,41.1896166835098,38,"L",NA
"after heatwave",19,-0.113377660718842,41.5291805265737,37,"L",NA
"after heatwave",20,-0.480920967927914,41.571652745977,36,"L",NA
"after heatwave",21,-0.355550091914253,41.4603687679616,36,"L",NA
"after heatwave",22,1.23495496865096,42.0616638641616,36,"L",NA
"after heatwave",23,2.78408861273095,43.401103190573,36,"L",NA
"after heatwave",24,5.88725471365033,48.3680006818446,36,"L",NA
"after heatwave",25,7.09526234617747,51.171186735099,36,"L",NA
"after heatwave",26,7.21502190098306,51.6146407146947,36,"L",NA
"after heatwave",27,6.34242939467781,51.2751005726183,36,"L",NA
"after heatwave",28,6.00466660358552,50.2946774430142,36,"L",NA
"after heatwave",29,6.05242091527143,47.0684285201819,36,"L",NA
"after heatwave",30,4.17713197368946,44.6775059304173,36,"L",NA
"after heatwave",31,3.93969762880685,44.3249124965454,36,"L",NA
"after heatwave",32,4.5483305823139,44.0780723256462,36,"L",NA
"after heatwave",33,7.44031899242403,44.0120348941743,36,"L",NA
"after heatwave",34,8.09581227253045,41.6060449417304,36,"L",NA
"after heatwave",35,12.2771242489189,43.914250085298,36,"L",NA
"after heatwave",36,12.5138181263146,43.894363680691,36,"L",NA
"after heatwave",37,12.2129035190189,44.5120350093353,36,"L",NA
"after heatwave",38,11.7975718490947,45.1773269874746,35,"L",NA
"after heatwave",39,11.4271170847319,45.7662476764705,34,"L",NA
"after heatwave",40,9.86518075677063,43.0929112136466,33,"L",NA
"after heatwave",-14,13.7472797651271,24.5619933476569,17,"R",NA
"after heatwave",-13,17.3195722772138,26.5850924292217,21,"R",NA
"after heatwave",-12,16.969204734304,25.3138128888066,25,"R",NA
"after heatwave",-11,17.9531113558142,24.7958658443514,29,"R",NA
"after heatwave",-10,17.9353149728771,24.1066137337411,32,"R",NA
"after heatwave",-9,12.7092634183625,22.595455779174,35,"R",NA
"after heatwave",-8,7.24181744648542,24.0414363640578,38,"R",NA
"after heatwave",-7,4.50455707540534,26.2426295829245,41,"R",NA
"after heatwave",-6,1.0593249679822,27.1976237908615,41,"R",NA
"after heatwave",-5,-1.83898620606127,27.0481013372735,41,"R",NA
"after heatwave",-4,-0.762680429660815,27.9598185873816,41,"R",NA
"after heatwave",-3,4.11060594955576,27.984788920636,41,"R",NA
"after heatwave",-2,6.39535491964875,25.3941181021714,41,"R",NA
"after heatwave",-1,6.93729159735411,22.7993382784804,41,"R",NA
"after heatwave",0,6.63875533479712,22.4955099298868,41,"R",NA
"after heatwave",1,3.90610896354137,23.5814550707852,41,"R",NA
