"period","daysAfter","mean_percent_change","sd_percent_change","number_percent_change","lake","median_percent_change"
"after heatwave",23,8.16422213011179,55.4557118433483,48,"L",NA
"after heatwave",24,11.3820201103877,57.7110081309139,48,"L",NA
"after heatwave",25,14.2218996191478,57.2954186584079,48,"L",NA
"after heatwave",26,14.5660542367861,57.3986598241832,48,"L",NA
"after heatwave",27,11.9258543983432,55.634144574385,48,"L",NA
"after heatwave",28,6.45850219145438,53.3852463249016,48,"L",NA
"after heatwave",29,2.34899087438166,51.0334471365991,48,"L",NA
"after heatwave",30,-0.887400105272063,50.7031307865369,48,"L",NA
"after heatwave",31,-6.12276246798408,55.1597239238906,48,"L",NA
"after heatwave",32,-11.2689432675324,60.047857807353,48,"L",NA
"after heatwave",33,-11.175859990667,59.0324598518,48,"L",NA
"after heatwave",34,-3.85583158129205,64.0201902579883,48,"L",NA
"after heatwave",35,2.96633231720891,66.3678306127869,48,"L",NA
"after heatwave",36,9.37095301442091,62.0177103224908,48,"L",NA
"after heatwave",37,15.1020442495125,55.5179565352655,48,"L",NA
"after heatwave",38,17.4916301269122,55.6512142103999,46,"L",NA
"after heatwave",39,11.050978628419,53.2822441074063,44,"L",NA
"after heatwave",40,5.73973647872975,51.4871251634826,42,"L",NA
"after heatwave",-14,14.8021818191019,41.5523474451279,22,"R",NA
"after heatwave",-13,11.9945519846392,38.5392387094407,27,"R",NA
"after heatwave",-12,5.2523290695108,43.8413187286079,32,"R",NA
"after heatwave",-11,0.824576602212159,46.2591247520131,37,"R",NA
"after heatwave",-10,6.76196006635137,47.0940496453558,41,"R",NA
"after heatwave",-9,8.99005173136456,46.0851054891074,45,"R",NA
"after heatwave",-8,12.2015309317747,46.0872637199355,49,"R",NA
"after heatwave",-7,10.5329919685173,45.2225911053538,53,"R",NA
"after heatwave",-6,12.8870624029615,43.8704736757389,53,"R",NA
"after heatwave",-5,12.2084806788152,43.4018047548869,53,"R",NA
"after heatwave",-4,18.6822256271762,48.3040003503171,53,"R",NA
"after heatwave",-3,22.5299426549424,51.0218953793043,53,"R",NA
"after heatwave",-2,26.549353403613,53.5595516792347,53,"R",NA
"after heatwave",-1,37.1824329735787,58.9985800028443,53,"R",NA
"after heatwave",0,38.4852599393182,60.8540933189178,53,"R",NA
"after heatwave",1,33.4837335548214,61.0535182908459,53,"R",NA
"after heatwave",2,27.8493396431976,62.0420551858772,53,"R",NA
"after heatwave",3,26.7923498272033,60.4756859840087,53,"R",NA
"after heatwave",4,20.613023095315,55.4178565951604,53,"R",NA
"after heatwave",5,24.7707136403291,65.8461521290244,53,"R",NA
"after heatwave",6,30.4865640999086,72.9057413073191,53,"R",NA
"after heatwave",7,30.4424666786186,72.7744253900655,53,"R",NA
"after heatwave",8,26.6033817539536,74.4431631442717,53,"R",NA
"after heatwave",9,21.503928657529,73.1881484225797,53,"R",NA
"after heatwave",10,12.301663147994,60.041150637215,55,"R",NA
"after heatwave",11,4.55402125295974,46.3840109302241,55,"R",NA
"after heatwave",12,4.87188481137821,43.9329534980479,55,"R",NA
"after heatwave",13,10.5405631167501,44.2130948602559,55,"R",NA
"after heatwave",14,15.1842629944634,43.9096632794466,55,"R",NA
"after heatwave",15,17.4997549922589,44.6135330808158,53,"R",NA
"after heatwave",16,15.3919366600937,45.0966170668772,52,"R",NA
"after heatwave",17,12.5740802885268,44.4808984143515,51,"R",NA
"after heatwave",18,7.16473497869858,41.2502076550948,50,"R",NA
"after heatwave",19,0.459272304582775,38.9808623542733,49,"R",NA
"after heatwave",20,-5.01363470099253,40.0994018652882,48,"R",NA
"after heatwave",21,-6.7413318717751,42.0075010897107,48,"R",NA
"after heatwave",22,-8.65866129466279,42.5386732237936,48,"R",NA
"after heatwave",23,-8.62058269814075,42.9744827859778,48,"R",NA
"after heatwave",24,-4.91669960045933,45.417368558257,48,"R",NA
