"year","lake","doyCat","manual_chl","mean_temp","mean_chl","mean_pH","mean_doSat","mean_do","date","lake_year","""lake_year""","chl_slope","se","p_value","r_squared","percent_change","period","shift"
2018,"R",217,2.91170893999254,22.0495574176643,2.91170893999254,6.88788924838748,95.8431227038787,7.82905167919665,2018-08-05,"R_2018","lake_year",0.0362308764003041,NA,0.696793194868743,0.0271137376090546,7.95572360797625,"exclude after heatwave",40
2018,"R",218,3.64342729390877,23.2735492532673,3.64342729390877,6.92186723345703,99.076025204072,7.92313032316451,2018-08-06,"R_2018","lake_year",0.112152005926339,NA,0.193526887489474,0.263200993496842,21.3544512800624,"exclude after heatwave",40
2018,"R",219,2.55657506527278,23.0119791666667,2.55657506527278,6.95594788157114,100.085763888889,8.08427083333333,2018-08-07,"R_2018","lake_year",-0.0194262056079324,NA,0.835435262122231,0.00778357885453202,-5.27537543577349,"exclude after heatwave",40
2018,"R",220,2.71139528912415,23.3890972222222,2.71139528912415,6.95102236253896,100.786088009733,8.08165029299238,2018-08-08,"R_2018","lake_year",-0.133204519771818,NA,0.0995695973119264,0.387007638919014,-35.60634182154,"exclude after heatwave",40
2018,"R",221,2.67160474184715,23.8071527777778,2.67160474184715,6.99007982601558,101.470486111111,8.07229166666667,2018-08-09,"R_2018","lake_year",-0.194471902303528,NA,0.00871617620318871,0.709102193402249,-43.0742100190698,"exclude after heatwave",40
2018,"R",222,2.10539951129485,24.5558680555556,2.10539951129485,6.94924649268225,101.806597222222,7.98711805555556,2018-08-10,"R_2018","lake_year",-0.208242289273187,NA,0.00712647400274378,0.727181085714253,-37.0402237335393,"exclude after heatwave",40
2018,"R",223,1.93288739915908,24.9931597222222,1.93288739915908,6.86358572722788,100.243055555556,7.80152777777778,2018-08-11,"R_2018","lake_year",-0.198357143425116,NA,0.00792226772372702,0.71781296220914,-35.7517506827521,"during heatwave",40
2018,"R",224,1.37270907560476,25.3343055555556,1.37270907560476,6.92101732601558,101.884722222222,7.87868055555556,2018-08-12,"R_2018","lake_year",-0.246654949210397,NA,0.00396154574629639,0.774013139468378,-51.6499298864606,"during heatwave",40
2018,"R",225,1.62557994771362,25.8679415458192,1.62557994771362,6.88560575013744,101.097759510964,7.74140503014293,2018-08-13,"R_2018","lake_year",-0.273166550858971,NA,0.000978694665059646,0.856461082389419,-65.6716002670821,"during heatwave",40
2018,"R",226,1.90735405123215,26.0606597222222,1.90735405123215,6.90476732601558,100.880208333333,7.69715277777778,2018-08-14,"R_2018","lake_year",-0.167176463288093,NA,0.0118209465047155,0.679597679372419,-32.1190776874593,"during heatwave",40
2018,"R",227,1.8341238909341,25.5170138888889,1.8341238909341,6.87271265953345,99.5284722222222,7.67055555555556,2018-08-15,"R_2018","lake_year",-0.142402264936944,NA,0.0343609309246373,0.553302690021627,-38.9902830587238,"during heatwave",40
2018,"R",228,2.57063784826807,25.3182986111111,2.57063784826807,6.82924649268225,98.2409722222222,7.59888888888889,2018-08-16,"R_2018","lake_year",-0.0224628039110627,NA,0.768532389161252,0.0155593795949661,-5.79921444903858,"during heatwave",40
2018,"R",229,1.73523077180593,24.9598182300673,1.73523077180593,6.82073988279398,97.6079544482273,7.60433019192505,2018-08-17,"R_2018","lake_year",0.0269474954598695,NA,0.65821937523296,0.0348072649615104,7.06064281382678,"during heatwave",40
2018,"R",230,2.07370964546676,24.6739236111111,2.07370964546676,6.83563538157114,97.0583333333333,7.60181598723667,2018-08-18,"R_2018","lake_year",0.066194139839581,NA,0.249423537860498,0.213203098374592,22.0081260773208,"during heatwave",40
2018,"R",231,2.20500549039053,24.4901676445186,2.20500549039053,6.84762476551874,97.0250696589432,7.62094093875414,2018-08-19,"R_2018","lake_year",0.0986531846585878,NA,0.0785883305150367,0.427616391464879,35.7274972618971,"during heatwave",40
2019,"R",133,2.92205303376297,11.2377969191131,2.92205303376297,6.67824543274692,109.766155080418,11.221890019578,2019-05-13,"R_2019","lake_year",NA,NA,NA,NA,NA,"all other days",40
2019,"R",134,2.41024027396941,12.679525312813,2.41024027396941,6.61885323598951,110.006975096495,10.8886931224463,2019-05-14,"R_2019","lake_year",NA,NA,NA,NA,NA,"all other days",40
2019,"R",135,2.23255900174144,14.7917907132258,2.23255900174144,6.58605703552858,110.199218995137,10.4127025882972,2019-05-15,"R_2019","lake_year",NA,NA,NA,NA,NA,"all other days",40
2019,"R",136,2.2052128507953,15.7891535572436,2.2052128507953,6.55084677273564,108.062291512247,9.99095646674711,2019-05-16,"R_2019","lake_year",NA,NA,NA,NA,NA,"all other days",40
2019,"R",137,2.35417379363762,15.9543527476977,2.35417379363762,6.58040290749886,105.734550937842,9.74035972247696,2019-05-17,"R_2019","lake_year",NA,NA,NA,NA,NA,"all other days",40
2019,"R",138,3.68582141043972,14.3589699665771,3.68582141043972,6.57046322454591,103.720894351226,9.88746295202245,2019-05-18,"R_2019","lake_year",NA,NA,NA,NA,NA,"all other days",40
2019,"R",139,5.65027819863378,11.6593253492519,5.65027819863378,6.55974811779316,101.610760664719,10.2958680729195,2019-05-19,"R_2019","lake_year",NA,NA,NA,NA,NA,"all other days",40
2019,"R",140,3.79286991087714,11.4571031156278,3.79286991087714,6.6325855870545,105.102279946444,10.703296516524,2019-05-20,"R_2019","lake_year",0.319103046810211,NA,0.0769210740722765,0.431195762151833,NA,"all other days",40
2019,"R",141,3.1323023350072,12.9029224058534,3.1323023350072,6.62865310287216,107.606050443085,10.5957959558255,2019-05-21,"R_2019","lake_year",0.291938483729292,NA,0.113868302532302,0.363102404325121,69.9360813268117,"all other days",40
2019,"R",142,3.50415502073719,12.8334498311685,3.50415502073719,6.58157282486434,105.204536780453,10.3693524590061,2019-05-22,"R_2019","lake_year",0.235918627308837,NA,0.203184089913258,0.253679044398013,68.5172515370068,"all other days",40
2019,"R",143,3.54599875422011,12.5504657593182,3.54599875422011,6.5802923080782,104.154825000304,10.3390696409561,2019-05-23,"R_2019","lake_year",0.138302880302587,NA,0.4404181542472,0.102096801130522,43.363698847957,"all other days",40
2019,"R",144,4.23350022750435,12.5682434566441,4.23350022750435,6.56111195198501,103.66358997794,10.2842668524946,2019-05-24,"R_2019","lake_year",0.0637766029334456,NA,0.696347895985471,0.0271964400990063,20.2445863841721,"all other days",40
2019,"R",145,2.47997982977428,13.9942300389724,2.47997982977428,6.55687235676097,105.111137322441,10.1100076907234,2019-05-25,"R_2019","lake_year",-0.189208829816029,NA,0.204074534282698,0.252821887394856,-56.2601542966662,"all other days",40
2019,"R",146,2.00739986442858,15.6384476338903,2.00739986442858,6.52201709058597,105.128645075275,9.74779944838153,2019-05-26,"R_2019","lake_year",-0.341894777785433,NA,0.0307272306325744,0.568349100108769,-64.9316170805062,"all other days",40
2019,"R",147,2.4368993356958,15.6846067234107,2.4368993356958,6.49231968114354,102.486105801655,9.49384882184199,2019-05-27,"R_2019","lake_year",-0.208349172366274,NA,0.0724006213314045,0.441213730736432,-25.8119008532459,"all other days",40
2019,"R",148,3.56846657170602,14.6185476173065,3.56846657170602,6.46122253162277,100.677130240821,9.54559706586385,2019-05-28,"R_2019","lake_year",-0.103005307564521,NA,0.411801424723061,0.114732983231976,-19.0103317512649,"all other days",40
2019,"R",149,2.40865996876398,15.5736083611108,2.40865996876398,6.47869530723744,102.786511285072,9.54593027486277,2019-05-29,"R_2019","lake_year",-0.159744153775646,NA,0.208752834985352,0.248373871267008,-35.6992702758033,"all other days",40
