"lake","year","doy","avg.schmidt.stability"
"Peter",2013,232,172.756948825935
"Peter",2013,233,184.16659888083
"Peter",2013,234,183.003712180066
"Peter",2013,235,179.037211218311
"Peter",2013,236,181.60087472458
"Peter",2013,237,185.060025192488
"Peter",2013,238,202.707626660747
"Peter",2013,239,212.966338428062
"Peter",2013,240,213.821470638794
"Peter",2013,241,222.051094423856
"Peter",2013,242,210.900916184213
"Peter",2013,243,200.999362349134
"Peter",2013,244,195.642404136781
"Peter",2013,245,164.656329355896
"Peter",2013,246,152.21467605037
"Peter",2013,247,154.393683970794
"Peter",2013,248,149.467197718445
"Peter",2013,249,149.457168719636
"Peter",2014,136,11.2215439317747
"Peter",2014,137,11.4765126537814
"Peter",2014,138,17.5314673174332
"Peter",2014,139,23.8112833257736
"Peter",2014,140,25.7915953314495
"Peter",2014,141,31.1232169765411
"Peter",2014,142,35.9975613749865
"Peter",2014,143,39.5234407650107
"Peter",2014,144,52.6226621507959
"Peter",2014,145,65.1600960537643
"Peter",2014,146,81.3211146270526
"Peter",2014,147,90.2139545609138
"Peter",2014,148,83.2935793556396
"Peter",2014,149,92.3580098320164
"Peter",2014,150,107.43022166741
"Peter",2014,151,116.174833522365
"Peter",2014,152,123.572861719975
"Peter",2014,153,127.246321224677
"Peter",2014,154,114.990040090083
"Peter",2014,155,106.940268473683
"Peter",2014,156,111.589257131041
"Peter",2014,157,121.987126253313
"Peter",2014,158,117.661766095531
"Peter",2014,159,107.501651581582
"Peter",2014,160,113.471625709481
"Peter",2014,161,108.106003606737
"Peter",2014,162,117.191644731298
"Peter",2014,163,113.576468619634
"Peter",2014,164,99.2697832933309
"Peter",2014,165,106.108964637429
"Peter",2014,166,95.8247564586441
"Peter",2014,167,98.7419204776661
"Peter",2014,168,116.655130604861
"Peter",2014,169,134.932230411112
"Peter",2014,170,128.90270969145
"Peter",2014,171,130.560730164436
"Peter",2014,172,123.968231828743
"Peter",2014,173,128.932039931525
"Peter",2014,174,142.157750766749
"Peter",2014,175,155.694009141508
"Peter",2014,176,148.712807289448
"Peter",2014,177,138.936377562788
"Peter",2014,178,145.145183320284
"Peter",2014,179,155.204571363155
"Peter",2014,180,171.880659170465
"Peter",2014,181,176.358646769132
"Peter",2014,182,171.862168943011
"Peter",2014,183,157.633570461708
"Peter",2014,184,156.604799542536
"Peter",2014,185,156.02097152059
"Peter",2014,186,162.388938947993
"Peter",2014,187,175.015794228757
