"lake","year","doyCat","mean_temp","mean_chl","mean_pH","mean_doSat","mean_do","date","X.lake_year.","lake_year","normTemp","normChl"
"L",2008,202,23.7292273535336,2.22333133425429,6.45507343562153,90.1716817126295,NA,2008-07-20,"lake_year","L_2008",185.83337220399,84.8536440484042
"L",2008,203,23.7494357421619,2.21314312510837,6.47519952983333,91.0672509587209,NA,2008-07-21,"lake_year","L_2008",185.991632435125,84.4648101130212
"L",2008,204,23.7617232322393,2.26254041106294,6.48657562139583,91.6239872351861,NA,2008-07-22,"lake_year","L_2008",186.087860840836,86.3500620567006
"L",2008,205,23.7100661787999,2.22473647012039,6.48552115896181,91.6818034931086,NA,2008-07-23,"lake_year","L_2008",185.683313137039,84.9072711874567
"L",2008,206,23.6819938856701,2.52646188023887,6.50225100149827,91.4560200055572,NA,2008-07-24,"lake_year","L_2008",185.463467424404,96.4226491053141
"L",2008,207,23.4510730703403,2.82818729035734,6.51898084403472,91.2302365180058,NA,2008-07-25,"lake_year","L_2008",183.655031221004,107.938027023171
"L",2008,208,23.1549150216386,2.69836386440006,6.49664468767014,90.5991530546845,NA,2008-07-26,"lake_year","L_2008",181.33569532036,102.983304078551
"L",2008,209,23.4045854678781,2.54162480835463,6.52535019409028,91.8745555489448,NA,2008-07-27,"lake_year","L_2008",183.290967621186,97.0013436459088
"L",2008,210,23.5792670674643,2.38422405225804,6.53023625800347,92.3152911927355,NA,2008-07-28,"lake_year","L_2008",184.658971316775,90.994129370197
"L",2008,211,23.9278626214135,2.30144794109404,6.52474037597222,92.5654048455392,NA,2008-07-29,"lake_year","L_2008",187.38896696141,87.8349715046075
"L",2008,212,23.9995074243887,2.16103135299532,6.50056393888542,91.7990579160193,NA,2008-07-30,"lake_year","L_2008",187.950046980553,82.4759595564327
"L",2008,213,23.9526205617542,1.95802699914351,6.50794725707639,91.1253099372578,NA,2008-07-31,"lake_year","L_2008",187.582856609555,74.7282797947046
"L",2008,214,24.2517382949436,1.81156867423111,6.49622856721875,90.6750099953595,NA,2008-08-01,"lake_year","L_2008",189.925371020852,69.1386844075598
"L",2008,215,24.2519981967887,1.7253201787508,6.4765025153125,89.5079092244524,NA,2008-08-02,"lake_year","L_2008",189.92740641946,65.8470026764375
"L",2008,216,24.3928144570231,1.6107252022574,6.4650750748125,89.0739132811422,NA,2008-08-03,"lake_year","L_2008",191.030196666721,61.4734749006651
"L",2008,217,24.1707137567471,1.72352597277996,6.42732819032639,87.1535037104245,NA,2008-08-04,"lake_year","L_2008",189.290834424274,65.7785266411954
"L",2008,218,24.6535761451924,1.66171363104785,6.44114381088889,88.5771600485341,NA,2008-08-05,"lake_year","L_2008",193.072329060336,63.4194529564385
"L",2008,219,24.4027630511556,1.70510913611651,6.43113998481944,87.6529340239997,NA,2008-08-06,"lake_year","L_2008",191.108108213051,65.0756463827916
"L",2008,220,23.9150776281311,2.06951180761633,6.44240189845312,87.4506973894344,NA,2008-08-07,"lake_year","L_2008",187.288842402785,78.983107723053
"L",2008,221,23.7395245255389,2.35183668939337,6.45495267265278,88.0164881448249,NA,2008-08-08,"lake_year","L_2008",185.914013607497,89.7580626995013
"L",2008,222,23.3675435184113,2.42350309338376,6.44940969612847,87.713419231802,NA,2008-08-09,"lake_year","L_2008",183.000876828095,92.4932175730637
"L",2008,223,22.7919932260129,2.36352554315529,6.43720005318056,87.1829672335863,NA,2008-08-10,"lake_year","L_2008",178.49350496487,90.2041688741262
"L",2008,224,22.6308530034919,2.29055210624041,6.41870569062153,86.738860739979,NA,2008-08-11,"lake_year","L_2008",177.231549381461,87.419130969265
"L",2008,225,22.5911425521726,2.39268076629953,6.43187799189583,87.6913521648457,NA,2008-08-12,"lake_year","L_2008",176.920560449101,91.3168806362994
"L",2008,226,22.3058958523539,2.53396203606583,6.40393918113194,86.3314263629445,NA,2008-08-13,"lake_year","L_2008",174.686675824557,96.7088932395299
"L",2008,227,22.3399550862865,2.38910081544541,6.41533277353472,86.8250805572109,NA,2008-08-14,"lake_year","L_2008",174.953407741365,91.1802514839972
"L",2008,228,22.2667968183683,2.33287031352245,6.41407560018056,86.4033755155633,NA,2008-08-15,"lake_year","L_2008",174.380475153662,89.0342092269018
"L",2008,229,22.2610120920337,2.4415391525576,6.42221597822569,87.3714246031999,NA,2008-08-16,"lake_year","L_2008",174.335172574441,93.1815654236941
"L",2008,230,22.4302039346168,2.23330006375959,6.41702303011111,87.584362410215,NA,2008-08-17,"lake_year","L_2008",175.660183717374,85.2341015231968
"L",2008,231,22.9740718506483,2.26984980475251,6.42398285605903,88.5394991641132,NA,2008-08-18,"lake_year","L_2008",179.919437816292,86.6290257364674
"L",2008,232,22.2254249033626,2.13389289049522,6.39594268915278,86.6092588062423,NA,2008-08-19,"lake_year","L_2008",174.056474613505,81.4402176489959
"L",2008,233,22.6792646545574,2.43556926710293,6.40522890862153,87.9857440986972,NA,2008-08-20,"lake_year","L_2008",177.610680999926,92.9537241984229
"L",2008,234,23.1441620585326,2.25535665293601,6.41941801840972,89.2507539920802,NA,2008-08-21,"lake_year","L_2008",181.251484428645,86.0758932696913
"L",2008,235,23.0589519865665,2.30743562433946,6.42515119722569,89.3216099595839,NA,2008-08-22,"lake_year","L_2008",180.584169189792,88.0634919841931
"L",2008,236,23.3457086052618,2.34801744219682,6.45345807438542,90.406688027074,NA,2008-08-23,"lake_year","L_2008",182.829878612186,89.6123007803685
"L",2008,237,22.3374276762552,2.08918813097088,6.41704272530208,88.3315990725602,NA,2008-08-24,"lake_year","L_2008",174.933614550374,79.7340564064026
"L",2008,238,21.7254244356535,1.81946727648366,6.40309265489583,87.5331251537729,NA,2008-08-25,"lake_year","L_2008",170.140764606027,69.4401352861094
"L",2008,239,21.6413128580592,1.73134925161026,6.41233703146528,88.4418585912919,NA,2008-08-26,"lake_year","L_2008",169.482052129937,66.0771027944346
"L",2008,240,21.0744088881244,1.64345604727391,6.38999451516279,87.1787994623376,NA,2008-08-27,"lake_year","L_2008",165.04239318617,62.7226505991518
"L",2009,134,14.1609848725255,1.26028345881099,6.65764348862105,92.9383778382684,NA,2009-05-14,"lake_year","L_2009",110.900516623826,48.0988336585052
"L",2009,135,13.8228686688609,1.07957399954986,6.64006649176042,92.1245885683537,NA,2009-05-15,"lake_year","L_2009",108.252589095986,41.2020405912377
"L",2009,136,13.2936999297206,1.14598163624295,6.65510419797917,91.2813605388119,NA,2009-05-16,"lake_year","L_2009",104.108450317496,43.7364941291496
"L",2009,137,12.567990939345,1.03307467347181,6.69861413561806,92.7687309328956,NA,2009-05-17,"lake_year","L_2009",98.4251237215224,39.4273895517241
"L",2009,138,13.5868332141993,1.07160701938642,6.68570048025,94.0874445496383,NA,2009-05-18,"lake_year","L_2009",106.404098041222,40.897980063455
"L",2009,139,14.6437480852836,1.09379345291921,6.64348127363542,93.6176348759242,NA,2009-05-19,"lake_year","L_2009",114.681234574152,41.7447273317052
"L",2009,140,16.4066281920624,1.08911599381657,6.61397041413542,94.1545795447153,NA,2009-05-20,"lake_year","L_2009",128.487076212112,41.5662116765568
"L",2009,141,17.6588737890369,1.248240117995,6.57880046901389,92.6284500671397,NA,2009-05-21,"lake_year","L_2009",138.293928270391,47.6391984529876
"L",2009,142,17.2806423059037,1.17032420568409,6.59034265388194,93.2717022375572,NA,2009-05-22,"lake_year","L_2009",135.331841433885,44.6655305218629
"L",2009,143,18.5755297892994,1.09650391183512,6.56063814722569,93.84870275414,NA,2009-05-23,"lake_year","L_2009",145.472639702579,41.8481722445326
"L",2009,144,18.5261608056774,1.04397585111082,6.55148919458333,93.0095868982987,NA,2009-05-24,"lake_year","L_2009",145.086010817784,39.8434339949601
"L",2009,145,18.6150224153105,0.938530573407988,6.54674996552431,92.9153976049883,NA,2009-05-25,"lake_year","L_2009",145.781922755057,35.8191053117222
"L",2009,146,17.6031941465164,1.13536268574415,6.53628156362847,90.9064750283349,NA,2009-05-26,"lake_year","L_2009",137.85787801142,43.3312209105742
"L",2009,147,16.1930437462311,1.39913055409654,6.51671593293403,89.3514524889783,NA,2009-05-27,"lake_year","L_2009",126.81440827279,53.3979457696861
"L",2009,148,16.3535320644328,1.32578520776891,6.54995630581597,90.8422484857661,NA,2009-05-28,"lake_year","L_2009",128.071258524441,50.5987139080171
"L",2009,149,17.7067333801146,1.42108778335782,6.57617563741667,92.257710743058,NA,2009-05-29,"lake_year","L_2009",138.668736479262,54.235945435917
"L",2009,150,17.7062495261852,1.34306263932649,6.57041729630556,91.4033214031782,NA,2009-05-30,"lake_year","L_2009",138.66494721946,51.2581086661759
"L",2009,151,16.4594385883702,1.49101705301799,6.57983256264583,89.7044619560392,NA,2009-05-31,"lake_year","L_2009",128.900656219885,56.9048024186299
"L",2009,152,15.1735892009364,1.53441281548685,6.56785894628125,88.4687392527947,NA,2009-06-01,"lake_year","L_2009",118.830639010594,58.5610056686852
"L",2009,153,15.1017322287788,1.45189973813814,6.59241310975,90.35170676735,NA,2009-06-02,"lake_year","L_2009",118.267897407024,55.4118865127524
"L",2009,154,15.6802549687333,1.30952545254698,6.61040478166319,92.2082710863369,NA,2009-06-03,"lake_year","L_2009",122.798547733758,49.9781588604364
"L",2009,155,16.7812942121485,1.20425348579251,6.62048283618403,93.4929305329125,NA,2009-06-04,"lake_year","L_2009",131.421240436068,45.9604446054195
"L",2009,156,17.4536348753462,1.09898151903804,6.63056089070486,94.7775899794881,NA,2009-06-05,"lake_year","L_2009",136.686617637374,41.9427303504026
"L",2009,157,17.028872520791,1.14199119523327,6.63329864555556,93.8330020382901,NA,2009-06-06,"lake_year","L_2009",133.360128343969,43.5841985824559
"L",2009,158,16.2408016223076,1.23146766849457,6.60048080988889,91.8622530151896,NA,2009-06-07,"lake_year","L_2009",127.18841990951,46.9990763813007
"L",2009,159,15.2616086589693,1.45907922713369,6.56870466890625,90.007738800547,NA,2009-06-08,"lake_year","L_2009",119.519955711139,55.6858923679715
"L",2009,160,14.8285904870414,1.61767776259767,6.5681438166875,90.2789307254234,NA,2009-06-09,"lake_year","L_2009",116.128811704801,61.7388200029668
"L",2009,161,14.9650438955822,1.42930613094404,6.59414546821181,91.7643856330051,NA,2009-06-10,"lake_year","L_2009",117.197434659947,54.5495994244176
"L",2009,162,15.1376549136784,1.19696467045808,6.61488231205035,92.8384042568973,NA,2009-06-11,"lake_year","L_2009",118.54922277738,45.6822663004617
"L",2009,163,15.9629294830779,0.964623209972119,6.63561915588889,93.9124228807895,NA,2009-06-12,"lake_year","L_2009",125.012288512341,36.8149331765059
"L",2009,164,17.2573924895437,1.05593593136912,6.62307092134722,95.2491724117491,NA,2009-06-13,"lake_year","L_2009",135.14976252702,40.299891553666
"L",2009,165,17.6352061625181,1.07310766339035,6.60284907247917,94.8011276256895,NA,2009-06-14,"lake_year","L_2009",138.108577319746,40.9552522793371
"L",2009,166,18.8142942918125,0.990179538731087,6.62873833749306,97.0226147045326,NA,2009-06-15,"lake_year","L_2009",147.342503057317,37.790292804775
"L",2009,167,20.2200741052039,1.09522300562377,6.62282204878819,98.1963912208837,NA,2009-06-16,"lake_year","L_2009",158.351744926287,41.7992863416343
"L",2009,168,21.1733714498192,1.02426563522448,6.58030853792535,96.9262522491947,NA,2009-06-17,"lake_year","L_2009",165.817409847593,39.0911918000298
"L",2009,169,21.9337080924511,1.20874017315247,6.58516027803472,96.5262396910837,NA,2009-06-18,"lake_year","L_2009",171.771919878848,46.1316794395321
"L",2009,170,22.2338253682283,1.32437801360808,6.56950078839931,95.1778006613796,NA,2009-06-19,"lake_year","L_2009",174.122262120651,50.5450082139577
"L",2009,171,23.5898060712941,1.19955606398682,6.548284791125,94.5933507220349,NA,2009-06-20,"lake_year","L_2009",184.7415066051,45.7811670718804
"L",2009,172,24.1256423876406,1.18598660617681,6.49675629259028,92.5073834597573,NA,2009-06-21,"lake_year","L_2009",188.937861932329,45.2632874714804
"L",2009,173,24.8163083134665,1.16689881321623,6.48807501574653,92.720184161272,NA,2009-06-22,"lake_year","L_2009",194.346751827916,44.5348001045311
"L",2009,174,25.8009432709321,1.08712159779908,6.44869929604861,91.2244326878844,NA,2009-06-23,"lake_year","L_2009",202.057834528151,41.4900953698452
"L",2009,175,26.9836257898537,1.07848875539706,6.427934686875,91.0554496323133,NA,2009-06-24,"lake_year","L_2009",211.319909414259,41.1606221487282
"L",2009,176,26.5747883223045,0.948253440585706,6.41431089477431,89.0707164384006,NA,2009-06-25,"lake_year","L_2009",208.118134483029,36.1901794282594
"L",2009,177,26.2217351582035,0.730742085324696,6.4124478508125,87.7483157793318,NA,2009-06-26,"lake_year","L_2009",205.353229453687,27.8888386287811
"L",2009,178,24.8797241526639,0.908544433996946,6.40797861777431,86.3430603546326,NA,2009-06-27,"lake_year","L_2009",194.84338743571,34.6746815541072
"L",2009,179,22.8044315653285,0.940578719569936,6.43139133037153,86.0824536570065,NA,2009-06-28,"lake_year","L_2009",178.59091473322,35.897272997621
"L",2009,180,20.6044041470612,0.995692899204717,6.46046377219444,85.7030741666969,NA,2009-06-29,"lake_year","L_2009",161.361592092971,38.0007107123231
"L",2009,181,19.0815428743395,1.08535078903135,6.47988343246181,85.3166626397567,NA,2009-06-30,"lake_year","L_2009",149.435436997719,41.4225122910032
"L",2009,182,18.1118138872419,1.17816849611188,6.49892114502778,85.5933159331074,NA,2009-07-01,"lake_year","L_2009",141.841089102971,44.9649085846451
"L",2009,183,17.9103239862615,0.950258328603441,6.51067870150521,87.5497292772059,NA,2009-07-02,"lake_year","L_2009",140.263138535666,36.2666961631215
"L",2009,184,18.8558857432336,0.722348161095001,6.52243625798264,89.5061426213044,NA,2009-07-03,"lake_year","L_2009",147.668222877743,27.5684837415979
"L",2009,185,20.0850457729836,0.616421369597211,6.53300623129514,92.3542695285707,NA,2009-07-04,"lake_year","L_2009",157.29428233192,23.5257780402645
"L",2009,186,21.0544477379907,0.604918989976155,6.50128453310764,93.1222739231753,NA,2009-07-05,"lake_year","L_2009",164.886069181719,23.0867886683084
"L",2009,187,21.0226311839427,0.593096418159685,6.48622948242708,92.6310696668401,NA,2009-07-06,"lake_year","L_2009",164.636900616618,22.6355791318818
"L",2009,188,21.2497253521667,0.583768216664654,6.48909111153125,93.1610843551096,NA,2009-07-07,"lake_year","L_2009",166.415368767315,22.2795674672792
"L",2009,189,21.3630615382476,0.701689417010057,6.50768361725174,93.827135927409,NA,2009-07-08,"lake_year","L_2009",167.302951213147,26.7800408810744
"L",2009,190,22.1787560972857,0.819610617355461,6.52627612297222,94.4931874997085,NA,2009-07-09,"lake_year","L_2009",173.6909919334,31.2805142948697
"L",2009,191,22.9439201534677,0.864115948017479,6.50580085425347,93.9568854557057,NA,2009-07-10,"lake_year","L_2009",179.683307432388,32.9790643166631
"L",2009,192,23.0457193078622,0.930498850876298,6.47775613810417,92.9938114989042,NA,2009-07-11,"lake_year","L_2009",180.480538621874,35.5125738855242
"L",2009,193,22.5045874444348,0.971537466634767,6.47339197197569,91.8708683932041,NA,2009-07-12,"lake_year","L_2009",176.242711680038,37.0788164154422
"L",2009,194,22.4532429510673,1.06559545444576,6.47232642748611,91.9235396019284,NA,2009-07-13,"lake_year","L_2009",175.840611763154,40.6685481367828
"L",2009,195,21.9037497809656,1.44437676932657,6.44032337649653,90.314205765493,NA,2009-07-14,"lake_year","L_2009",171.53730397813,55.1247717188891
"L",2009,196,21.6586043790689,2.49385142464317,6.43703560252778,89.8248549463927,NA,2009-07-15,"lake_year","L_2009",169.61746916699,95.1780680801013
"L",2009,197,20.7478647191216,2.02988740350582,6.41983724570833,87.6540583043157,NA,2009-07-16,"lake_year","L_2009",162.485091037421,77.4708387102335
"L",2009,198,19.6615881483091,1.56592338236847,6.40263888888889,85.4832616622387,NA,2009-07-17,"lake_year","L_2009",153.978010916659,59.7636093403657
"L",2009,199,19.021098025719,1.51853584565242,6.38510416666667,84.868614981482,NA,2009-07-18,"lake_year","L_2009",148.962068443229,57.9550596604849
"L",2009,200,19.1062749688394,1.43359486609313,6.38663194444444,85.811195677588,NA,2009-07-19,"lake_year","L_2009",149.629124236419,54.7132793942683
"L",2009,201,19.7619028910577,1.32066416425821,6.41597222222222,88.2808828549626,NA,2009-07-20,"lake_year","L_2009",154.763617065946,50.4032688132989
"L",2009,202,20.4916657897741,1.38108264004337,6.44722222222222,90.2229216889531,NA,2009-07-21,"lake_year","L_2009",160.478691491141,52.7091454765001
"L",2009,203,20.8559451735152,1.41008065387053,6.43013888888889,90.2693418454857,NA,2009-07-22,"lake_year","L_2009",163.331513679425,53.8158573306853
"L",2009,204,21.5371335681146,1.15162599572953,6.45873263888889,90.4166403843276,NA,2009-07-23,"lake_year","L_2009",168.666181116702,43.9519116260276
"L",2009,205,21.7753409964975,0.893171337588539,6.48732638888889,90.5639389231696,NA,2009-07-24,"lake_year","L_2009",170.531681794028,34.0879659213703
"L",2009,206,21.2034853622789,1.01670856711424,6.43482638888889,88.1899262659576,NA,2009-07-25,"lake_year","L_2009",166.053244323755,38.802775603309
"L",2009,207,21.4428021595644,0.895110744663118,6.44409722222222,88.7840669218007,NA,2009-07-26,"lake_year","L_2009",167.927432926781,34.1619835700382
"L",2009,208,22.0203399484729,0.736771712043131,6.45232638888889,89.5763979065736,NA,2009-07-27,"lake_year","L_2009",172.450369695396,28.1189598848567
"L",2009,209,21.9300681403888,0.826255051840704,6.45569444444444,89.5938890070328,NA,2009-07-28,"lake_year","L_2009",171.743413912079,31.5340997456873
"L",2009,210,21.4258397030248,0.786212244889429,6.42753472222222,88.2593227750974,NA,2009-07-29,"lake_year","L_2009",167.794592929395,30.0058623501207
"L",2009,211,20.9636868096176,1.05521269263473,6.39704123393055,87.2631713704926,NA,2009-07-30,"lake_year","L_2009",164.175282895565,40.2722890811131
"L",2009,212,21.0098414534878,1.32421314038004,6.36654774563889,86.2670199658879,NA,2009-07-31,"lake_year","L_2009",164.53673895924,50.5387158121057
"L",2009,213,20.8240361461613,1.34565001037546,6.38440201553472,87.0143113147053,NA,2009-08-01,"lake_year","L_2009",163.081620917702,51.3568559192857
"L",2009,214,20.4042277912192,1.28032725759663,6.38864516929167,86.3917980597714,NA,2009-08-02,"lake_year","L_2009",159.79392843973,48.8638070753463
"L",2009,215,20.7597169404369,1.33724925432565,6.40184667419792,87.3057509570436,NA,2009-08-03,"lake_year","L_2009",162.577910673826,51.036240295062
"L",2009,216,21.2664146528595,1.20193500775573,6.42043013458333,88.9190324179746,NA,2009-08-04,"lake_year","L_2009",166.546069568537,45.8719596787529
"L",2009,217,21.2398193370482,1.19293121171687,6.40630525023611,88.3445119240489,NA,2009-08-05,"lake_year","L_2009",166.337790674816,45.5283289781034
"L",2009,218,21.3151122563772,1.32324910162962,6.41678112907986,88.9192743016373,NA,2009-08-06,"lake_year","L_2009",166.927440598664,50.5019231848816
"L",2009,219,20.7985707252114,1.47145453652542,6.39693091027431,87.8970957992542,NA,2009-08-07,"lake_year","L_2009",162.882190696937,56.1581971845934
"L",2009,220,20.8153333681915,1.52744986211628,6.37814209994618,87.2245859224302,NA,2009-08-08,"lake_year","L_2009",163.013465871877,58.29526391543
"L",2009,221,21.9900290471172,1.5256145713604,6.38322482349479,89.390584599459,NA,2009-08-09,"lake_year","L_2009",172.212992517894,58.2252198756032
"L",2009,222,22.2878078367167,1.34785646069403,6.41144990492361,90.434639563218,NA,2009-08-10,"lake_year","L_2009",174.545021109371,51.441065297824
"L",2009,223,22.317615559586,1.28356644192496,6.40059512373264,90.2221554771491,NA,2009-08-11,"lake_year","L_2009",174.778457688489,48.9874308419747
"L",2009,224,22.6819282072515,1.33166329121369,6.382900067125,89.87643441085,NA,2009-08-12,"lake_year","L_2009",177.631540380293,50.823051501171
"L",2009,225,23.5419351103044,1.3821616521223,6.38715464157465,91.6228683713133,NA,2009-08-13,"lake_year","L_2009",184.366609353756,52.7503260713394
"L",2009,226,24.3451074326017,1.54312894339377,6.43171181769792,93.4111667723193,NA,2009-08-14,"lake_year","L_2009",190.656583270298,58.8936574887263
"L",2009,227,24.9713127780606,1.40434002186101,6.37776747439583,91.8872589974413,NA,2009-08-15,"lake_year","L_2009",195.560655758838,53.5967655841499
"L",2009,228,24.6407741516225,1.61439073284946,6.37573283792014,91.0828193445005,NA,2009-08-16,"lake_year","L_2009",192.972071365444,61.6133702115057
"L",2009,229,24.0553356594125,1.49886389726456,6.34765651728819,90.378976469413,NA,2009-08-17,"lake_year","L_2009",188.38726092874,57.2042779481398
"L",2009,230,23.1901007256138,1.58838876031085,6.32808715723958,88.7975305071984,NA,2009-08-18,"lake_year","L_2009",181.611249088954,60.6210025475616
"L",2009,231,22.2333452435914,1.68450046875861,6.31431640809028,87.4921773608964,NA,2009-08-19,"lake_year","L_2009",174.118502066477,64.2891147051432
