"lake","year","doyCat","mean_temp","mean_chl","mean_pH","mean_doSat","mean_do","date"
"R",2011,165,20.7781223788653,1.00203766155341,6.58645972670139,96.6871039392894,NA,2011-06-14
"R",2011,166,20.401763184218,1.10921259850695,6.54826922087153,94.9925166600091,NA,2011-06-15
"R",2011,167,19.790399732774,1.31278109323076,6.64830748852604,92.5500773694402,NA,2011-06-16
"R",2011,168,20.1493750003334,1.25156386330082,6.73514112511806,93.2443744373269,NA,2011-06-17
"R",2011,169,20.6915277736667,1.20712166829194,6.72412105798264,94.9224560337493,NA,2011-06-18
"R",2011,170,19.8772569413333,1.26649382554249,6.59320515754861,92.1887320512845,NA,2011-06-19
"R",2011,171,19.2387847216667,1.37604230832342,6.55346981264236,92.3602164788888,NA,2011-06-20
"R",2011,172,18.722465278,1.29930565221992,6.48724141219792,92.2018397975692,NA,2011-06-21
"R",2011,173,18.4269097204445,1.26649373665898,6.45576995616667,92.8233242673615,NA,2011-06-22
"R",2011,174,17.7859463083695,1.44076964093913,6.51085967426736,90.9887966185664,NA,2011-06-23
"R",2011,175,17.6852787509647,1.48084795524065,6.56805076446528,90.4603054182584,NA,2011-06-24
"R",2011,176,18.3707090840384,1.22049072460522,6.57749511590972,92.5201355210086,NA,2011-06-25
"R",2011,177,20.160604592149,1.41225212885813,6.5145434897691,94.2449474294555,NA,2011-06-26
"R",2011,178,20.6189752601357,1.5171227439886,6.50537659177431,93.5891479011271,NA,2011-06-27
"R",2011,179,19.8827570423421,1.56716811508174,6.51794588525347,92.4732935387359,NA,2011-06-28
"R",2011,180,20.3645416926468,1.37757673911822,6.5504803583125,94.0772906660419,NA,2011-06-29
"R",2011,181,21.8479213953627,1.38699399878583,6.54436627173437,97.2915829914272,NA,2011-06-30
"R",2011,182,23.4512265726252,1.32410891880751,6.65796714041667,100.76451260005,NA,2011-07-01
"R",2011,183,24.9575083471015,1.21894618807599,6.66617504969097,100.720137962369,NA,2011-07-02
"R",2011,184,24.8142011423478,1.09669062773853,6.64257739767708,99.4293540037785,NA,2011-07-03
"R",2011,185,25.2005669289429,1.08382224780409,6.62335474852431,99.7089729060637,NA,2011-07-04
"R",2011,186,25.7152715657763,1.08277290659363,6.57869807160243,98.7958633128666,NA,2011-07-05
"R",2011,187,25.4128501480414,1.03208566741847,6.57327750606944,98.4781208827256,NA,2011-07-06
"R",2011,188,24.9574876320538,NA,NA,NA,NA,2011-07-07
"R",2011,189,25.0912572786461,0.523011780601989,6.39011328320486,90.9153030364532,NA,2011-07-08
"R",2011,190,24.4680080775877,0.702373213020917,6.3645308448125,89.9930335815384,NA,2011-07-09
"R",2011,191,24.8377607749195,0.639114021767409,6.39936507197222,90.5941225251155,NA,2011-07-10
"R",2011,192,26.4521610352302,0.498945908697029,6.41057082746181,92.7562900380212,NA,2011-07-11
"R",2011,193,25.5068895733415,0.666330929127519,6.42070019406944,90.8367756182619,NA,2011-07-12
"R",2011,194,24.2533929304316,0.690281771692105,6.41629831068403,89.5833389351828,NA,2011-07-13
"R",2011,195,23.2082869169709,1.01853787711128,6.47153583794271,90.5670699985457,NA,2011-07-14
"R",2011,196,22.7792349438757,1.28851633549685,6.49216501488194,93.1053832632073,NA,2011-07-15
"R",2011,197,23.4094609162997,1.19480254339049,6.54414147532986,96.4078968899587,NA,2011-07-16
"R",2011,198,25.2191932259813,1.34830040328788,6.54682997686806,100.690300853489,NA,2011-07-17
"R",2011,199,26.4700808801801,1.30120864873196,6.53767736525,99.8634046337787,NA,2011-07-18
"R",2011,200,26.8504813394748,1.15209302903179,6.56553923996528,101.45120137135,NA,2011-07-19
"R",2011,201,27.2293195332908,1.19099873635533,6.51288030894097,102.075379419264,NA,2011-07-20
"R",2011,202,27.6043725120465,NA,NA,NA,NA,2011-07-21
"R",2011,203,27.2320172277919,1.23212772718345,6.47243307366667,94.5162233503766,NA,2011-07-22
"R",2011,204,26.4456101024976,1.04743936018288,6.49317341802083,93.0290558985896,NA,2011-07-23
"R",2011,205,25.7206453017371,1.18370215879181,6.53136671510417,92.660851275732,NA,2011-07-24
"R",2011,206,25.4244801713924,1.14483949038753,6.55465049172222,92.3457983497112,NA,2011-07-25
"R",2011,207,25.2136944335524,1.21549683534855,6.59494814612153,92.485592577374,NA,2011-07-26
"R",2011,208,24.3250706101275,1.38439234644422,6.59847471666319,91.2276467380419,NA,2011-07-27
"R",2011,209,24.5387024210683,NA,NA,NA,NA,2011-07-28
"R",2011,210,25.2594490513876,1.46908494117311,6.78661174745486,96.2985823796632,NA,2011-07-29
"R",2011,211,25.3548521736423,1.45382278732344,6.78115524014931,96.7179342205006,NA,2011-07-30
"R",2011,212,25.4435934136338,1.57293479468151,6.791914010625,97.0939595052818,NA,2011-07-31
"R",2011,213,25.3251982566958,1.83826681442687,6.86562416998958,98.6133332014574,NA,2011-08-01
"R",2011,214,24.7553042958364,2.10347659702145,6.74872669045833,96.3805618043074,NA,2011-08-02
"R",2011,215,24.9444533395081,2.28368336478421,6.80717643315278,98.3556136445464,NA,2011-08-03
"R",2011,216,25.1137254587936,NA,NA,NA,NA,2011-08-04
"R",2011,217,25.499789215962,3.22130416069362,7.11294114256597,99.223368116534,NA,2011-08-05
"R",2011,218,25.9315663619622,3.15422258571411,7.13724536075,99.644671340155,NA,2011-08-06
"R",2011,219,25.7217306815129,3.44279567244403,7.12709916852778,99.189563848341,NA,2011-08-07
"R",2011,220,25.414450086985,3.731571823108,7.30535873345486,99.8330260154264,NA,2011-08-08
"R",2011,221,24.6401995504672,3.94207105079842,7.2808753420625,98.5749044393025,NA,2011-08-09
"R",2011,222,23.781808422371,4.40503437474045,7.30028062389236,98.8171308044295,NA,2011-08-10
"R",2011,223,23.7896405803843,NA,NA,NA,NA,2011-08-11
"R",2011,224,23.885625473113,3.56008331399554,7.38590277777778,100.481274546578,NA,2011-08-12
